(0.5377778737,-0.8447493675)
(-0.3860324572,0.9217163709)
(0.1791723662,-0.9842777205)
(0.6175735794,-0.784023452)
(-0.001990239852,-1.003473097)
(0.9943550097,-0.08323163525)
(1.0198235,0.007788653103)
(-0.159774438,0.9800230816)
(-0.8560746045,-0.516403525)
(0.6816643956,0.7316605177)
(-0.9678087184,0.2481394477)
(-0.5250043293,-0.848962701)
(0.8677836006,-0.4899910961)
(1.000209977,-0.01297604224)
(0.1284603331,-0.991470971)
(0.9894701809,0.130575447)
(0.984978876,0.1343473926)
(0.8026121254,0.5950568652)
(-0.7008522516,0.7112345757)
(0.7848449399,0.6246004114)
(0.9249017945,-0.3765485796)
(-0.9874787716,-0.1630669513)
(0.536711232,-0.8446573088)
(-0.6202787568,0.7847079037)
(-0.8374861034,0.5517297789)
(0.6383234662,0.7667093606)
(1.00040934,-0.001107167529)
(0.4621426264,0.8868345301)
(-0.6229675049,-0.7798384274)
(-0.0202961364,0.9979297122)
(0.9447673767,0.3273964332)
(0.9990435968,0.008046697901)
(0.9614303767,0.275561519)
(0.7534779588,0.6583198282)
(0.7455955047,0.6699267824)
(-0.6210794363,-0.7836294873)
(0.06105032744,0.9985662843)
(-0.1405584424,-0.9912575137)
(0.9406349602,-0.3379269544)
(0.773331348,-0.6344647516)
(0.9458141144,-0.3218105514)
(-0.9603321251,-0.2724214535)
(0.893176261,-0.4507475551)
(-0.7952338803,-0.6046951579)
(-0.7327831399,0.6765029453)
(0.3818247527,0.9226534246)
(-0.02586706762,0.99842182)
(0.7637936225,0.6458656325)
(0.7888210935,0.6123045715)
(-0.1099195979,0.994367534)
(0.1542518134,0.9887325535)
(-0.5290032753,0.848393496)
(-0.4958055216,-0.8689202929)
(0.9970784115,0.08436552132)
(0.9832074371,-0.1826780334)
(0.5248864728,0.8528158618)
(0.9172707946,0.3923239457)
(0.06539850985,-0.9934743626)
(-0.1322356869,-0.9923425753)
(0.9958410295,-0.1034463047)
(0.9647101337,-0.261042541)
(0.3313779914,0.944041158)
(0.1909042818,0.981759157)
(-0.8043823996,0.5959373419)
(-0.7019369611,-0.7139774745)
(0.6479542861,0.7629199854)
(0.160642629,0.9838672431)
(-0.8732699893,0.4898930194)
(0.7442031216,0.6683325092)
(0.7224247136,0.6927280365)
(0.9323443132,-0.3567969392)
(0.9551198846,-0.2994410295)
(0.3210372209,0.9435505128)
(-0.5557590709,-0.8309548621)
(-0.04672618457,1.000696014)
(-0.1941631242,-0.9800101337)
(-0.6517709784,0.7567887541)
(0.3227356239,0.9479009846)
(0.9990960935,0.02030210667)
(-0.08994204578,0.9935948036)
(-0.735931858,-0.6778784498)
(0.857827139,0.5130722399)
(-0.4947007219,0.8660794853)
(0.4276315873,0.9037829142)
(-0.8651883426,-0.497475442)
(-0.4237698545,-0.9035849234)
(0.552133973,0.8280120633)
(-1.003674768,-0.07975045866)
(0.8903554622,-0.4444860219)
(0.991169356,-0.2683643356)
(-0.2366104407,0.9697072748)
(0.4943146472,-0.869542702)
(-0.7569061288,0.6419508222)
(0.9016014673,-0.4487921991)
(0.9965048995,-0.1183070503)
(-0.02605059048,-0.9367514031)
(0.735669694,0.6773670866)
(-0.6340637687,-0.7566320401)
(0.5934684966,0.8144090461)
(0.9982611485,-0.1009854489)
(-0.9332953806,-0.3820862302)
(0.2920297795,0.8751760735)
(0.1696722101,-0.9471264225)
(0.09765517797,0.01432474547)
(-0.4455346979,0.8663834391)
(0.2281619678,0.9519771609)
(-0.3734905787,0.9207402149)
(-0.7234777879,0.6700077335)
(-0.7863094688,0.6449516337)
(-0.6193010758,0.7844837512)
(0.8098414272,0.6224313234)
(0.9103653459,-0.092042799)
(-0.1933049047,-0.9786479881)
(0.3681475897,-0.9110137326)
(0.8806819408,-0.4627947926)
(-0.8794574555,0.4543465287)
(0.9456280085,-0.04530856943)
(0.006722799303,-1.056908126)
(-0.8465538513,0.5640667275)
(-0.07786120808,0.9960771241)
(0.8059490431,0.545456659)
(0.2250621787,-0.8580024239)
(-0.6528900561,-0.750476013)
(-0.5640575301,-0.8387112813)
